feature,A,B,C,Ch,D,E,K,L,M,O,P,Q,R,S,V,X,Z,A_upper,B_upper,C_upper,Ch_upper,D_upper,E_upper,K_upper,L_upper,M_upper,O_upper,P_upper,Q_upper,R_upper,S_upper,V_upper,X_upper,Z_upper,A_lower,B_lower,C_lower,Ch_lower,D_lower,E_lower,K_lower,L_lower,M_lower,O_lower,P_lower,Q_lower,R_lower,S_lower,V_lower,X_lower,Z_lower
0.95,1.0685,0.9037,0.9861,1.0147,1.3601,1.2373,1.0537,1.1905,1.1681,0.6914,1.093,0.8792,0.9138,1.0697,0.792,1.1349,1.4364,0.0842,0.0726,0.0487,0.0733,0.0598,0.05,0.0506,0.0811,0.0664,0.0672,0.0488,0.053,0.0385,0.0656,0.0777,0.0572,0.024,-0.0842,-0.0726,-0.0487,-0.0733,-0.0598,-0.05,-0.0506,-0.0811,-0.0664,-0.0672,-0.0488,-0.053,-0.0385,-0.0656,-0.0777,-0.0572,-0.024
0.975,1.0503,0.8984,0.9866,1.0183,1.3821,1.2433,1.0517,1.1972,1.174,0.6806,1.0986,0.876,0.927,1.0788,0.8438,1.142,1.4657,0.0835,0.07,0.0473,0.0713,0.059,0.0489,0.0514,0.0786,0.0654,0.0723,0.0478,0.0524,0.0445,0.0674,0.0741,0.0565,0.0231,-0.0835,-0.07,-0.0473,-0.0713,-0.059,-0.0489,-0.0514,-0.0786,-0.0654,-0.0723,-0.0478,-0.0524,-0.0445,-0.0674,-0.0741,-0.0565,-0.0231
1.0,1.0361,0.8935,0.9874,1.022,1.4066,1.2498,1.0501,1.2042,1.1807,0.6772,1.1042,0.878,0.9505,1.0924,0.9197,1.1503,1.4956,0.0849,0.0674,0.0462,0.0693,0.0651,0.048,0.0524,0.0746,0.0645,0.0823,0.0473,0.0519,0.0493,0.0698,0.072,0.0557,0.0223,-0.0849,-0.0674,-0.0462,-0.0693,-0.0651,-0.048,-0.0524,-0.0746,-0.0645,-0.0823,-0.0473,-0.0519,-0.0493,-0.0698,-0.072,-0.0557,-0.0223
1.025,1.0304,0.8888,0.9888,1.0259,1.4315,1.2562,1.05,1.2127,1.1876,0.6763,1.1104,0.8844,0.9723,1.1088,1.0059,1.158,1.5262,0.0881,0.0649,0.0449,0.0672,0.0711,0.0469,0.0528,0.0688,0.0634,0.076,0.0467,0.0515,0.0532,0.0724,0.0752,0.0546,0.0217,-0.0881,-0.0649,-0.0449,-0.0672,-0.0711,-0.0469,-0.0528,-0.0688,-0.0634,-0.076,-0.0467,-0.0515,-0.0532,-0.0724,-0.0752,-0.0546,-0.0217
1.05,1.0358,0.8848,0.9902,1.0295,1.4543,1.2626,1.0501,1.2204,1.1945,0.6888,1.1168,0.8941,0.9993,1.1268,1.096,1.1668,1.5567,0.0922,0.0626,0.0442,0.0656,0.0742,0.0459,0.054,0.0646,0.0619,0.0746,0.0461,0.0512,0.059,0.074,0.0816,0.0539,0.0215,-0.0922,-0.0626,-0.0442,-0.0656,-0.0742,-0.0459,-0.054,-0.0646,-0.0619,-0.0746,-0.0461,-0.0512,-0.059,-0.074,-0.0816,-0.0539,-0.0215
1.1,1.0806,0.8781,0.9939,1.0359,1.4972,1.2744,1.0561,1.2378,1.2092,0.7497,1.1298,0.9225,1.0587,1.1676,1.2584,1.1851,1.617,0.0993,0.0587,0.0431,0.0624,0.0762,0.0442,0.0512,0.0563,0.0582,0.0886,0.0445,0.05,0.068,0.0748,0.1011,0.0523,0.0211,-0.0993,-0.0587,-0.0431,-0.0624,-0.0762,-0.0442,-0.0512,-0.0563,-0.0582,-0.0886,-0.0445,-0.05,-0.068,-0.0748,-0.1011,-0.0523,-0.0211
1.15,1.1505,0.8737,0.9981,1.0428,1.5359,1.2836,1.065,1.2552,1.2244,0.8257,1.1431,0.9553,1.122,1.2096,1.3713,1.2034,1.6748,0.1039,0.0551,0.042,0.059,0.0738,0.0421,0.0471,0.0486,0.0539,0.0635,0.0421,0.0481,0.0765,0.0727,0.1142,0.0504,0.021,-0.1039,-0.0551,-0.042,-0.059,-0.0738,-0.0421,-0.0471,-0.0486,-0.0539,-0.0635,-0.0421,-0.0481,-0.0765,-0.0727,-0.1142,-0.0504,-0.021
1.2,1.222,0.8702,1.0026,1.05,1.572,1.2909,1.0737,1.2716,1.2395,0.9111,1.1566,0.9864,1.1768,1.2471,1.4458,1.22,1.7311,0.1064,0.0521,0.041,0.0551,0.0697,0.0391,0.0432,0.0416,0.0494,0.0383,0.0393,0.046,0.0799,0.0689,0.1221,0.0477,0.021,-0.1064,-0.0521,-0.041,-0.0551,-0.0697,-0.0391,-0.0432,-0.0416,-0.0494,-0.0383,-0.0393,-0.046,-0.0799,-0.0689,-0.1221,-0.0477,-0.021
1.25,1.2925,0.8675,1.0075,1.0569,1.6058,1.2969,1.081,1.2857,1.2538,0.991,1.17,1.0139,1.2238,1.2798,1.5035,1.2352,1.7846,0.108,0.0495,0.0398,0.0513,0.065,0.036,0.0403,0.0364,0.0448,0.019,0.0363,0.0433,0.0764,0.064,0.1269,0.0446,0.0208,-0.108,-0.0495,-0.0398,-0.0513,-0.065,-0.036,-0.0403,-0.0364,-0.0448,-0.019,-0.0363,-0.0433,-0.0764,-0.064,-0.1269,-0.0446,-0.0208
1.3,1.374,0.8653,1.0127,1.0632,1.6372,1.3028,1.0883,1.2966,1.2673,1.0535,1.1832,1.0399,1.2661,1.3106,1.548,1.2499,1.8361,0.1041,0.0474,0.0384,0.0469,0.0594,0.0336,0.0371,0.0329,0.0409,0.0235,0.0331,0.041,0.0708,0.0588,0.1263,0.0421,0.0206,-0.1041,-0.0474,-0.0384,-0.0469,-0.0594,-0.0336,-0.0371,-0.0329,-0.0409,-0.0235,-0.0331,-0.041,-0.0708,-0.0588,-0.1263,-0.0421,-0.0206
