designation,class_bus,class_demeo,slope,PC1,PC2,PC3,PC4,PC5,name,number,class_
92,Xc,Xk,0.1604,-0.2105,-0.0825,-0.1616,0.0231,-0.0113,Undina,92.0,Xk
93,C,C,0.0235,-0.5609,-0.0721,-0.1823,-0.1202,-0.049,Minerva,93.0,C
96,T,T,0.2672,0.0024,-0.2296,-0.1353,0.0032,-0.0221,Aegle,96.0,T
97,X,Xc,0.0782,-0.1431,-0.2083,-0.1168,-0.0371,0.0035,Klotho,97.0,Xc
99,Xk,Xk,0.0906,-0.0986,-0.1395,-0.1146,0.0174,0.0149,Dike,99.0,Xk
101,S,S,0.1685,0.1674,-0.022,0.0347,-0.0371,0.0377,Helena,101.0,S
103,S,S,0.1399,0.1377,-0.087,0.0598,-0.0932,-0.0041,Hera,103.0,S
105,Ch,Ch,0.0901,-0.3221,-0.0785,-0.1738,0.0629,-0.0017,Artemis,105.0,Ch
106,Cgh,Cgh,0.046,-0.5045,0.0048,-0.1215,0.0594,0.0584,Dione,106.0,Cgh
108,SI,Sw,0.2713,0.295,-0.0596,0.0671,-0.002,0.0111,Hecuba,108.0,Sw
110,X,X,0.2413,-0.2178,-0.0643,-0.1567,0.0837,0.0076,Lydia,110.0,Xk
111,Ch,Ch,-0.0038,-0.3827,-0.0731,-0.1973,0.0372,-0.0125,Ate,111.0,Ch
114,Xk,K,0.2282,-0.2364,-0.1662,-0.0634,-0.0363,-0.0261,Kassandra,114.0,K
115,S,S,0.1408,0.3346,-0.0679,0.0258,-0.0233,0.0095,Thyra,115.0,S
119,SI,S,0.2329,0.2297,-0.0735,0.1495,-0.0176,-0.0105,Althaea,119.0,S
128,C,C,0.0909,-0.4973,-0.0827,-0.1416,-0.0643,-0.0133,Nemesis,128.0,C
130,Ch,Ch,0.0925,-0.5175,0.002,-0.1308,0.0706,0.0491,Elektra,130.0,Ch
131,Xc,K,0.1741,-0.5109,0.0313,-0.0507,-0.0184,0.0174,Vala,131.0,K
132,Xe,Xe,0.1041,-0.364,-0.0944,-0.1157,-0.016,0.0129,Aethra,132.0,Xe
133,S,S,0.1715,0.1898,-0.0812,0.1374,-0.0473,-0.0146,Cyrene,133.0,S
147,C,C,0.1778,-0.6347,-0.0061,-0.1881,-0.0282,-0.0113,Protogeneia,147.0,C
150,Cb,C,0.1558,-0.6658,-0.0221,-0.1946,-0.0545,-0.0296,Nuwa,150.0,C
151,SI,Sw,0.378,0.3427,-0.1232,0.1094,0.0687,0.0251,Abundantia,151.0,Sw
153,X,X,0.2534,-0.444,-0.0551,-0.1702,0.0172,-0.0073,Hilda,153.0,X
158,S,S,0.2067,-0.0603,0.0573,0.0102,0.008,0.0349,Koronis,158.0,S
160,C,Ch,0.1421,-0.388,-0.0567,-0.1572,0.026,0.0052,Una,160.0,Xk
170,S,S,0.1472,0.2552,-0.0862,0.0138,-0.0673,0.0208,Maria,170.0,S
175,Cg,Cg,0.1176,-0.5537,-0.013,-0.113,-0.0558,0.0288,Andromache,175.0,Cg
180,Sq,Sr,0.1161,0.1465,0.0934,-0.0583,0.0595,0.031,Garumna,180.0,Sr
181,Xk,Xk,0.0317,-0.0403,-0.1862,-0.0815,-0.0389,-0.039,Eucharis,181.0,Xk
188,S,S,0.169,0.3672,-0.082,0.0267,0.0087,0.0322,Menippe,188.0,S
191,Cb,Cb,0.1738,-0.5579,-0.02,-0.1974,-0.0077,-0.0406,Kolga,191.0,Cb
192,SI,Sw,0.3086,0.2612,-0.0848,0.11,0.002,-0.0166,Nausikaa,192.0,Sw
199,X,X,0.4045,-0.1176,-0.1249,-0.1555,0.0677,-0.0176,Byblis,199.0,D
201,X,X,0.2004,-0.2912,-0.0816,-0.1636,0.0088,-0.0039,Penelope,201.0,Xk
205,Ch,Ch,0.058,-0.3641,-0.0512,-0.1768,0.0775,0.0034,Martha,205.0,Ch
210,Cb,Cb,0.0904,-0.6191,-0.0086,-0.1561,-0.0225,-0.0535,Isabella,210.0,Cb
221,K,K,0.0158,-0.2598,-0.1234,-0.0137,-0.117,-0.034,Eos,221.0,K
236,L,L,0.2144,0.218,-0.2586,-0.0019,-0.0215,-0.0179,Honoria,236.0,L
