obs_id,target_name,target_class,access_url,bib_reference,alt_target_name
1999SB7_20141218_950_00,1999SB7,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999SB7_20141218_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99S07B
1999TB1_20150114_950_00,1999TB1,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TB1_20150114_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99T01B
1999TH165_20141014_950_00,1999TH165,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TH165_20141014_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99TG5H
1999TL103_20140915_950_00,1999TL103,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TL103_20140915_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99TA3L
1999TL149_20150120_950_00,1999TL149,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TL149_20150120_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99TE9L
1999TM123_20141217_950_00,1999TM123,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TM123_20141217_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99TC3M
1999TO9_20150126_950_00,1999TO9,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TO9_20150126_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99T09O
1999TR195_20150119_950_00,1999TR195,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TR195_20150119_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99TJ5R
1999TW200_20141202_950_00,1999TW200,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TW200_20141202_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,1999 TW200
1999TX176_20141216_950_00,1999TX176,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999TX176_20141216_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99TH6X
1999VM55_20150114_950_00,1999VM55,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999VM55_20150114_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99V55M
1999VR80_20150114_950_00,1999VR80,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999VR80_20150114_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99V80R
1999VY30_20150119_950_00,1999VY30,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999VY30_20150119_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99V30Y
1999XB100_20150504_950_00,1999XB100,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999XB100_20150504_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,J99XA0B
1999XX262_20140903_950_00,1999XX262,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/1999XX262_20140903_950_00.txt,,J99XQ2X
2000AC102_20150114_950_00,2000AC102,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000AC102_20150114_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00AA2C
2000AR77_20150505_950_00,2000AR77,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000AR77_20150505_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00A77R
2000AZ90_20150115_950_00,2000AZ90,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000AZ90_20150115_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00A90Z
2000EX106_20150311_950_00,2000EX106,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000EX106_20150311_950_00.txt,,K00EA6X
2000HD74_20150523_950_00,2000HD74,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000HD74_20150523_950_00.txt,,K00H74D
2000LY27_20150524_950_00,2000LY27,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000LY27_20150524_950_00.txt,,K00L27Y
2000OC49_20140913_950_00,2000OC49,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000OC49_20140913_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00O49C
2000OG44_20150722_950_00,2000OG44,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000OG44_20150722_950_00.txt,,K00O44G
2000SQ304_20140917_950_00,2000SQ304,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000SQ304_20140917_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00SU4Q
2000UV13_20050620_262_00,2000UV13,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000UV13_20050620_262_00.txt,,2000_UV13
2000WO61_20141013_950_00,2000WO61,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000WO61_20141013_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00W61O
2000WO67_20150527_950_00,2000WO67,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000WO67_20150527_950_00.txt,,K00W67O
2000WR61_20140915_950_00,2000WR61,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000WR61_20140915_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00W61R
2000WT143_20140915_950_00,2000WT143,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000WT143_20140915_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00WE3T
2000WW109_20140913_950_00,2000WW109,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000WW109_20140913_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00WA9W
2000XK26_20141216_950_00,2000XK26,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000XK26_20141216_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00X26K
2000YF52_20141012_950_00,2000YF52,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000YF52_20141012_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00Y52F
2000YJ66_20140821_950_00,2000YJ66,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000YJ66_20140821_950_00.txt,,K00Y66J
2000YK29_20140212_950_00,2000YK29,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000YK29_20140212_950_00.txt,,K00Y29K
2000YL29_20070715_950_00,2000YL29,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000YL29_20070715_950_00.txt,,2000_YL29
2000YQ86_20140919_950_00,2000YQ86,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000YQ86_20140919_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K00Y86Q
2000YZ6_20141125_950_00,2000YZ6,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2000YZ6_20141125_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,2000 YZ6
2001AH15_20141008_950_00,2001AH15,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001AH15_20141008_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01A15H
2001AH16_20141013_950_00,2001AH16,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001AH16_20141013_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01A16H
2001AN15_20140919_950_00,2001AN15,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001AN15_20140919_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01A15N
2001BA63_20140913_950_00,2001BA63,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001BA63_20140913_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01B63A
2001BE22_20141218_950_00,2001BE22,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001BE22_20141218_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01B22E
2001BZ34_20140816_950_00,2001BZ34,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001BZ34_20140816_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01B34Z
2001CF12_20141125_950_00,2001CF12,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001CF12_20141125_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01C12F
2001CP44_20061026_262_00,2001CP44,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001CP44_20061026_262_00.txt,,1973_GM
2001CP44_20140212_950_00,2001CP44,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001CP44_20140212_950_00.txt,,K01C44P
2001CP44_20140514_950_00,2001CP44,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001CP44_20140514_950_00.txt,,K01C44P
2001DC6_20141218_950_00,2001DC6,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001DC6_20141218_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01D06C
2001FH33_20141217_950_00,2001FH33,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001FH33_20141217_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01F33H
2001FR157_20141216_950_00,2001FR157,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001FR157_20141216_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01FF7R
2001GB_20141010_950_00,2001GB,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001GB_20141010_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01G00B
2001HG53_20141216_950_00,2001HG53,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001HG53_20141216_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K01H53G
