name,number,inst,run,filename
Bettina,250,spex,sp26,a000250.sp26.txt
2001 FC7,68278,spex,sp26,a068278.sp26.txt
1997 AE12,162058,spex,sp26,au1997AE12.sp26.txt
2003 RL10,,spex,sp26,au2003RL10.sp26.txt
2002 GJ103,357208,spex,sp26,au2002GJ103.sp26.txt
1999 CU3,22771,spex,sp26,a022771.sp26.txt
Mjolnir,85585,spex,sp26,au1998FG2.sp26.txt
2010 SL13,411280,spex,sp129,au2010SL13.sp129.txt
2014 SR339,505657,spex,sp240,a505657.sp240.txt
2004 QJ7,523603,spex,sp103,au2004qj7.sp103.txt
2000 SP43,297418,spex,sp103,a297418.sp103.txt
1991 VK,7341,spex,sp103,a007341.sp103.txt
Ganymed,1036,spex,sp103,a001036.sp103.txt
2002 AG29,163081,spex,sp103,a163081.sp103.txt
Eros,433,spex,sp103,a000433.sp103.txt
2011 TN9,,spex,sp103,au2011tn9.sp103.txt
Cuno,4183,spex,sp103,a004183.sp103.txt
1999 YB,137799,spex,sp103,a137799.sp103.txt
Anteros,1943,spex,sp103,a001943.sp103.txt
1990 UA,301844,spex,sp103,au1990ua.sp103.txt
McAuliffe,3352,spex,sp103,a003352.sp103.txt
2019 BK,,spex,sp250,au2019bk.sp250.txt
2016 AZ8,,spex,sp250,au2016az8.sp250.txt
2009 SX1,523631,spex,sp250,a523631.sp250.txt
2015 JA2,515767,spex,sp250,a515767.sp250.txt
2009 BJ81,381677,spex,sp250,a381677.sp250.txt
2007 EJ,410088,spex,sp250,a410088.sp250.txt
1994 RH,32906,spex,sp105,a032906.sp105.txt
2011 YA,445775,spex,sp105,au2011ya.sp105.txt
1994 CK1,10145,spex,sp105,au1994ck1.sp105.txt
2006 VY13,475665,spex,sp105,au2006vy13.sp105.txt
2000 VN2,24475,spex,sp105,a024475.sp105.txt
2002 LJ3,99799,spex,sp105,a099799.sp105.txt
2011 SL102,407656,spex,sp105,au2011sl102.sp105.txt
2001 YE4,480883,spex,sp105,au2001ye4.sp105.txt
Eros,433,spex,sp105,a000433.sp105.txt
1999 XP35,137671,spex,sp105,au1999xp35.sp105.txt
2006 MJ10,470004,spex,sp105,au2006mj10.sp105.txt
2005 AN26,289315,spex,sp105,a289315.sp105.txt
Geographos,1620,spex,sp105,a001620.sp105.txt
2009 WF104,438902,spex,sp279,a438902.sp279n3.txt
Apophis,99942,spex,sp279,a099942.sp279n3.txt
2003 AF23,,spex,sp279,au2003AF23.sp279n1.txt
2000 MU1,189040,spex,sp279,a189040.sp279n1.txt
2004 BA27,259776,spex,sp279,a259776.sp279n2.txt
2020 WU5,,spex,sp279,au2020WU5.sp279n2.txt
2016 CO247,,spex,sp279,au2016CO247.sp279n1.txt
2020 WL3,,spex,sp279,au2020WL3.sp279n4.txt
2009 WF104,438902,spex,sp279,a438902.sp279n2.txt
Sibylla,168,spex,sp279,a000168.sp279n2.txt
2002 AX1,313276,spex,sp279,a313276.sp279n4.txt
2002 YK14,90147,spex,sp279,a090147.sp279n3.txt
Stereoskopia,566,spex,sp279,a000566.sp279n2.txt
2020 WU5,,spex,sp279,au2020WU5.sp279n3.txt
2017 BQ93,,spex,sp279,au2017BQ93.sp279n2.txt
