number,name,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1.0,1.025,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,pV,z0,z1,z2,z3,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,cluster,class_A,class_B,class_C,class_D,class_E,class_K,class_L,class_M,class_O,class_P,class_Q,class_R,class_S,class_V,class_X,class_Z,class_,class_sf,e,e_center,e_snr,e_depth,k,k_center,k_snr,k_depth,h,h_center,h_snr,h_depth,DIFFUSE,ref_spectrum,ref_albedo
27,Euterpe,,,,-0.2218796908855438,-0.1852917820215225,-0.152977243065834,-0.1227942928671836,-0.0929850339889526,-0.0635439157485961,-0.0344113186001777,-0.0084889754652976,0.0110695734620094,0.02253407984972,0.0237483158707618,0.020050473511219,0.0117629095911979,0.0019089505076408,-0.007734976708889,-0.0151610001921653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6329752802848816,-0.0053932464084269,0.2544213687012017,-0.1530473679280452,-0.2597216762353803,0.019544,0.0,0.0,0.041265,0.012127,0.0,0.004097,0.0,0.0,0.0,0.0,0.0,0.0,0.000141,0.856987,0.0,0.0,0.0,0.0,0.0,0.0,0.000791,4e-05,0.005919,2e-06,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,2.7e-05,0.0,0.0,0.022815,0.0,0.03112,0.00031,0.0,5e-05,0.0,0.003827,0.0,0.000746,7e-06,6.1e-05,0.0,0.000112,0.0,14,0.0,0.0,0.00013,0.0,1e-05,2e-06,0.043233,0.028802,0.0,2.3e-05,0.000123,0.0,0.927632,4.5e-05,0.0,0.0,S,S,,,,,,,,,,,,,False,3.0,13;1
29,Amphitrite,,,-0.3214544951915741,-0.2933283150196075,-0.2681671679019928,-0.2450601905584335,-0.2230642139911651,-0.201664537191391,-0.1797329634428024,-0.1564958244562149,-0.1339977234601974,-0.1145838797092437,-0.0986609756946563,-0.0884194374084472,-0.0821411162614822,-0.0788302570581436,-0.0777805149555206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6615434885025024,0.4218321401720956,0.1208295833806468,-0.0510477873015186,-0.2632868485481417,0.000105,0.0,0.0,0.0,0.499551,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,2e-06,0.062358,0.003682,0.003105,0.0,0.0,0.0,0.0,0.0,0.000844,0.0,6e-06,0.000317,0.0,0.001249,0.0,0.072149,0.0,0.018412,0.006276,0.0,0.009306,0.0,0.0,0.0,0.321338,0.001208,0.0,8.5e-05,4,8.5e-05,0.0,1e-06,0.0,4e-05,6.2e-05,0.25908,0.391075,0.0,0.00052,0.0,0.0,0.349131,6e-06,0.0,0.0,M,M,,,,,,,,,,,,,False,3.0,26;4;6;5;8;7;14
29,Amphitrite,-0.4459691047668457,-0.4098635017871856,-0.3771750926971435,-0.3473544418811798,-0.319972962141037,-0.2942737936973572,-0.2702268958091736,-0.2471206039190292,-0.2253784239292144,-0.204674556851387,-0.18588887155056,-0.1696236282587051,-0.1575665026903152,-0.1540830433368683,-0.152073323726654,-0.1535369157791137,-0.1567120999097824,-0.1603333204984665,-0.1631176322698593,-0.1637687683105468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6575773358345032,0.7122290984335657,0.060816958647114,-0.0060378608967101,-0.1119754298147832,4e-06,0.0,0.0,0.0,0.005508,0.0,0.0,1.4e-05,2.2e-05,0.0,0.0,0.03646,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.001122,0.0,6e-06,0.0,0.018487,0.0,0.0,0.0,0.0,0.0,0.307427,0.0,7e-06,0.128767,0.0,4e-06,0.0,0.066366,3e-06,0.006047,0.000755,0.0,0.006695,0.0,0.0,0.0,8.4e-05,0.335075,0.0,0.087147,47,0.087147,0.0,0.0,0.0,8e-06,0.01157,0.0,0.073283,0.0,8.6e-05,0.0,0.0,0.827885,2e-05,0.0,0.0,S,S,,,,,,,,,,,,,False,1.0,14
31,Euphrosyne,,,-0.0735143274068832,-0.058934424072504,-0.0524672381579875,-0.0544362515211105,-0.056196067482233,-0.0539504848420619,-0.0489673279225826,-0.0420440137386322,-0.0350301414728164,-0.0284398328512907,-0.0135001903399825,-0.0050100567750632,-0.0047612744383513,-0.0009107397054322,0.0016923404764384,0.0020805082749575,-0.0022452876437455,-0.0087259570136666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3010300397872925,-0.3470357243148002,-0.4110073275133595,0.1249873923911198,-0.1237844479299316,0.0,0.0,0.001006,0.019418,0.0,0.534675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000609,0.0,0.0,0.0,1e-06,0.0,0.388868,0.0,0.0,0.007993,2e-06,2e-06,0.0,0.047419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,5,0.0,0.001006,0.582957,0.0,0.0,2e-06,0.0,3.2e-05,0.0,0.396584,0.0,0.0,0.019418,0.0,0.0,0.0,C,C,,,,,,,,,0.0,0.6569,2.3017,0.0221,False,14.0,1;35
31,Euphrosyne,-0.0782486423850059,-0.0602394975721836,-0.0465300716459751,-0.0377182848751544,-0.0361064746975898,-0.0341677851974964,-0.0328509770333766,-0.0308458395302295,-0.0277444794774055,-0.0216552373021841,-0.0165434777736663,-0.012190225534141,-0.0102359047159552,-0.0096198124811053,-0.0111277615651488,-0.0112504540011286,-0.0115266544744372,-0.0118603808805346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3936187028884888,-0.3536129386510588,-0.5216404735633104,0.0713881137902772,0.0492472811538537,0.0,0.0,0.002004,0.026922,0.0,0.351475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000887,0.0,0.0,0.0,4.7e-05,0.0,0.558212,0.0,0.0,0.00634,0.0,0.0,0.0,0.054111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,19,0.0,0.002004,0.892425,0.0,0.0,0.0,0.0,2e-06,0.0,0.078647,0.0,0.0,0.026922,0.0,0.0,0.0,C,C,,,,,,,,,0.0,0.6054,1.718,0.0116,False,6.0,4;6;15;5;10;16;7;9;14
32,Pomona,,,-0.2350485622882843,-0.2270196676254272,-0.2159790247678756,-0.2036991864442825,-0.1917031854391098,-0.179988294839859,-0.1694842278957367,-0.1601195186376571,-0.148399069905281,-0.1339298039674759,-0.1176677420735359,-0.1100658103823661,-0.0999026224017143,-0.0911924839019775,-0.0851925462484359,-0.0811114162206649,-0.0813947170972824,-0.0899774432182312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2981443280546821,-0.2325291957618043,-0.0173441081610535,-0.0957708402307712,0.0,0.0,5e-06,0.0,0.000159,0.001165,0.0,0.0,6e-06,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.233806,0.0,0.011247,0.0,0.0,0.160007,1e-06,0.002425,0.0,1e-05,0.0,0.0,0.0,0.000132,0.0,0.0,0.0,4.9e-05,0.0,0.0,0.409061,0.0,0.0,1e-06,0.0,9.5e-05,0.0,0.0,0.0,0.181824,0.0,0.0,0.0,37,0.0,5e-06,0.001182,5.5e-05,0.0,0.001739,0.0,0.000686,0.0,0.011247,0.0,0.0,0.000387,0.0,0.984699,0.0,X,X,,,,,,,,,0.0,0.834,1.6233,0.0164,False,1.0,
32,Pomona,,,-0.305214524269104,-0.2569078505039215,-0.2240834981203079,-0.1993010342121124,-0.1765754222869873,-0.1475243866443634,-0.1267551034688949,-0.1056911349296569,-0.0866000577807426,-0.0679202899336814,-0.060351125895977,-0.0578448846936225,-0.0632161274552345,-0.0818262919783592,-0.1022904738783836,-0.1266290694475174,-0.1397682130336761,-0.1354538053274154,-0.1265611499547958,-0.0906987562775611,-0.0707247629761695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3069134223653786,0.1901248124064195,-0.0109122464202119,-0.1370869718146843,0.006668,0.0,0.0,8e-06,0.212722,0.0,0.0,1e-06,0.0,0.0,0.0,1.1e-05,0.0,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003407,0.0,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,1.1e-05,0.000133,2e-06,0.73204,0.0,0.04442,0.0,1e-06,0.0,0.0,0.000519,0.0,0.0,40,0.0,0.0,3.4e-05,0.0,0.0,2e-06,1.7e-05,6e-06,0.0,0.0,5e-06,0.0,0.999914,1.1e-05,1.1e-05,0.0,S,S,,,,,,,,,,,,,False,1.0,
33,Polyhymnia,,,,-0.2340511381626129,-0.1977154463529586,-0.1704026907682418,-0.1494606584310531,-0.1329814493656158,-0.1186221688985824,-0.1048483178019523,-0.0908523872494697,-0.0793810188770294,-0.0731545761227607,-0.076040394604206,-0.0886086151003837,-0.1096594780683517,-0.134504497051239,-0.1562069207429886,-0.1686326414346695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6020600199699402,0.3606748840486569,0.1874174313859823,-0.0845985649767038,0.0590751592613078,0.00027,0.0,0.0,0.0,0.044179,0.0,1e-06,6e-06,0.0,0.0,1e-06,1e-06,0.0,6e-06,0.0,0.0,2.3e-05,0.0,0.0,0.0,4e-05,0.005294,0.0,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.007552,0.0,1e-06,0.024558,0.0,0.0,0.0,6e-06,0.000115,1e-06,0.05401,0.0,0.443831,0.0,0.0,0.0,0.0,0.416149,0.0,0.003945,42,0.003945,0.0,2e-06,0.0,0.0,1.1e-05,0.0,6e-06,0.0,0.0,2.6e-05,1e-06,0.996002,6e-06,0.0,0.0,S,S,,,,,,,,,,,,,False,3.0,28
35,Leukothea,-0.1022974029183387,-0.0689391270279884,-0.0352254323661327,-0.0164352636784315,-0.0010851150145754,0.0121624870225787,0.0183386299759149,0.0194327104836702,0.0203804168850183,0.0196888279169797,0.0165357682853937,0.0140536455437541,0.0124794570729136,0.0124947605654597,0.0147343380376696,0.0164505187422037,0.0187690127640962,0.0230468157678842,0.024716006591916,0.0196797121316194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2596373558044434,-0.5411463453839909,-0.3871401666240603,0.0615531912811316,-0.0674950870944623,0.0,0.0,0.007136,0.008277,0.0,0.793029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000512,0.0,0.0,0.0,0.0,0.0,0.101963,0.0,0.0,0.00628,2e-06,1e-06,0.0,0.082775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,2.2e-05,0.0,0.0,0.0,5,0.0,0.007136,0.876519,0.0,0.0,1e-06,0.0,7.2e-05,0.0,0.107991,0.0,0.0,0.00828,0.0,0.0,0.0,C,C,,,,,,,,,0.0,0.5491,4.3661,0.0193,False,1.0,13
38,Leda,,,-0.0966688692569732,-0.0876829028129577,-0.0863623097538948,-0.0907191559672355,-0.0988457128405571,-0.1087777763605117,-0.118756853044033,-0.1236669272184372,-0.1260190159082412,-0.1233016178011894,-0.1165687516331672,-0.1118165850639343,-0.1028684675693512,-0.0942544788122177,-0.0834416598081588,-0.0776706710457801,-0.0741009786725044,-0.0753424689173698,-0.0802949145436286,-0.0913287848234176,-0.1122000962495803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3565473556518557,0.0094945595221733,-0.5853117053573007,0.1495079672164179,0.1360650597434844,0.0,0.0,0.028611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706738,0.0,1e-06,0.0,0.0,0.256207,0.0,0.0,0.0,0.0,0.0,0.0,0.002812,0.00563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.1e-05,0.028611,5e-06,2.9e-05,0.0,0.0,0.0,0.000782,0.0,0.964931,0.0,0.0,0.005631,0.0,0.0,0.0,Ch,Ch,,,,,,,,,1.0,0.6991,5.7875,0.045,False,1.0,29
