number,name,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1.0,1.025,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,pV,z0,z1,z2,z3,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,cluster,class_A,class_B,class_C,class_D,class_E,class_K,class_L,class_M,class_O,class_P,class_Q,class_R,class_S,class_V,class_X,class_Z,class_,class_sf,e,e_center,e_snr,e_depth,k,k_center,k_snr,k_depth,h,h_center,h_snr,h_depth,DIFFUSE,ref_spectrum,ref_albedo
1,Ceres,0.018969221,0.04506244,0.063771926,0.076592036,0.08483085,0.08939975,0.0925312,0.09524047,0.09710511,0.098906286,0.10094934,0.10224148,0.102688655,0.102771215,0.10273532,0.10300436,0.1019033,0.09922776,0.09462114,0.088582166,0.085390836,0.082020305,0.078989305,0.07571052,0.07227032,0.067008644,0.06355651,0.06400783,0.06689684,0.070986584,0.07520008,0.07981201,0.08507464,0.089606404,0.09331486,0.096095115,0.09778037,0.09990594,0.10246772,0.10471817,0.106162556,0.1067155,0.10854772,0.11081806,0.112202704,0.11367843,0.114315435,0.1146974,0.11490884,0.11512461,0.11545916,0.116056144,0.11670605,-1.4685211,-0.9248990425637414,-0.4579427303865268,-0.0196350338089641,-0.0211431687582344,0.0,0.0,0.058298,0.0,0.0,0.937421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000357,6e-06,0.0,0.0,0.003781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.058298,0.941338,0.0,0.0,0.0,0.0,6e-06,0.0,0.000357,0.0,0.0,0.0,0.0,0.0,0.0,C,C,,,,,,,,,0.0,0.8286,1.5969,0.006,False,1,1;2
1,Ceres,0.04816069,0.07524004,0.09406304,0.106336266,0.11437603,0.11799044,0.12094909,0.12337127,0.12585574,0.1285395,0.13094667,0.13220994,0.13228421,0.13269237,0.13104267,0.13033663,0.12779996,0.12805213,0.12517029,0.11410062,0.106449075,0.09846543,0.089230515,0.081235096,0.07570273,0.06853532,0.06477523,0.06265852,0.061828885,0.065931074,0.07099275,0.075159505,0.07776196,0.07900059,0.084010884,0.08766835,0.09047466,0.093951926,0.09796717,0.102115095,0.10535832,0.107793644,0.10895172,0.11075013,0.11129646,0.111924484,0.11273751,0.114098,0.114053935,0.11486333,0.11599091,0.118265495,0.12108734,-1.769551,-1.0798659709985523,-0.5822017197414951,0.0107118193939924,0.0132177602375178,0.0,0.0,0.09143,0.0,0.0,0.907184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,0.0,1e-06,1.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.09143,0.908543,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,C,C,,,,,,,,,0.0,0.834,1.8286,0.0068,False,1,2;3
2,Pallas,0.23374991,0.24826376,0.25514814,0.2571474,0.260842,0.26293334,0.26485172,0.26287383,0.26020294,0.26143035,0.26238453,0.26168698,0.2598525,0.259484,0.25558558,0.25069875,0.24441664,0.23690253,0.22672398,0.21643758,0.2054428,0.19773334,0.18999197,0.18212438,0.17502448,0.16268499,0.15243839,0.14542334,0.14043881,0.13709019,0.13448735,0.13326886,0.13122775,0.1300392,0.12809066,0.1271932,0.124984235,0.12267749,0.118244365,0.11454061,0.11331466,0.112672344,0.11289255,0.11026974,0.10638504,0.102957174,0.10056251,0.09745748,0.091988996,0.087091446,0.08377376,0.08179867,0.0800475,-0.8239087,-1.65560250275946,-0.1020269622958564,-0.278093483994689,-0.1555813498687014,0.0,0.0,0.973788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.006547,0.0,0.016668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,2,0.0,0.973788,0.019646,0.0,0.0,0.006547,1.1e-05,0.0,0.0,0.0,8e-06,0.0,1e-06,0.0,0.0,0.0,B,B,,,,,,,,,0.0,0.5491,0.3184,0.0035,False,1,5
2,Pallas,0.19362433,0.20813818,0.21502256,0.21702182,0.22071643,0.22280778,0.22472616,0.22274826,0.22007737,0.22130477,0.22213045,0.22176729,0.22012895,0.21943079,0.21443658,0.21053994,0.2075736,0.20454858,0.1999685,0.18988056,0.18520346,0.18002802,0.17393309,0.1653799,0.1600914,0.15148802,0.1451509,0.14243454,0.1409825,0.1393786,0.13510424,0.13026138,0.12785146,0.124054566,0.120577924,0.118785985,0.11730517,0.11660438,0.11732267,0.11454061,0.113831036,0.11302783,0.112269215,0.11055557,0.109360725,0.1066378,0.10582324,0.10193606,0.0966732,0.09046733,0.085908405,0.08449567,0.08879248,-0.86012095,-1.4871617324381168,-0.1394251909619681,-0.2181582862221826,-0.1631167469350129,0.0,0.0,0.883834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000581,0.037889,0.0,0.073841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0,2,0.0,0.883834,0.077683,0.0,0.0,0.037805,0.000581,8.4e-05,0.0,0.0,6e-06,0.0,7e-06,0.0,0.0,0.0,B,B,,,,,,,,,0.0,0.5491,0.3485,0.0038,False,1,4;6;5;8;7
3,Juno,,-0.10450776,-0.05887691,-0.026821256,-0.001034079,0.01828961,0.040521733,0.064744405,0.08580582,0.10682913,0.12190025,0.1386209,0.15108353,0.15344965,0.14889075,0.13360862,0.11946158,0.10223854,0.08907446,0.084486805,0.08042814,0.108416826,0.12392255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6090649,-0.7497504857106243,0.2067606138593773,-0.2720596837820732,-0.3205706306822353,0.023976,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.012238,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.485461,0.0,0.0,0.0,0.0,6.6e-05,0.0,0.0,7.2e-05,0.0,0.0,0.0,0.032138,0.0,0.0,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.444761,0.0,0.0,0.0,0.001247,0.0,23,0.0,1e-06,0.01198,0.0,4.8e-05,0.0,0.48547,0.032128,0.0,2.5e-05,0.00151,0.0,0.468772,6.6e-05,0.0,0.0,L,L,,,,,,,,,,,,,False,1,5
3,Juno,-0.21398096,-0.17093396,-0.13834979,-0.113514185,-0.085087016,-0.06681576,-0.04724778,-0.030291207,-0.0070252013,0.0032883172,0.014196318,0.019437615,0.011182893,-0.00060724874,-0.018109951,-0.035594318,-0.048253804,-0.06854711,-0.07819634,-0.07861387,-0.07441339,-0.064214915,-0.05581121,-0.048433345,-0.041736193,-0.003775325,0.030799393,0.05529212,0.07542072,0.09329496,0.113286376,0.12718257,0.14338459,0.1557843,0.1582425,0.15726149,0.14787635,0.13285288,0.1249377,0.11651282,0.11338481,0.10677169,0.10989605,0.109128356,0.11154948,0.12268005,0.1310363,0.13254704,0.13736896,0.13916181,0.14023396,0.14768958,0.15757759,-0.64975196,-0.1345764751300125,0.134908665186738,-0.1108187488463992,0.0040057360313133,0.007696,0.0,0.0,0.033883,0.000184,0.0,0.420377,0.0,0.0,0.0,0.010075,0.0,0.0,0.000142,0.001104,0.0,7.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331563,0.0,0.175015,0.0,0.018433,3.6e-05,3.2e-05,0.0,0.0,0.0,0.001367,0.0,6,0.0,0.0,0.000104,0.0,0.0,1.4e-05,0.0,0.0,0.0,0.0,0.001485,1e-06,0.998396,0.0,0.0,0.0,S,S,,,,,,,,,,,,,False,1,4;6;5;10;9
3,Juno,-0.27468386,-0.2391555,-0.20641577,-0.17697886,-0.15301824,-0.13220775,-0.113029905,-0.09426171,-0.07480723,-0.058978707,-0.052548103,-0.050618872,-0.055762075,-0.06311015,-0.081882715,-0.09990377,-0.11918334,-0.13600367,-0.14561775,-0.14426719,-0.13770618,-0.12724538,-0.11256217,-0.098388255,-0.078150935,-0.034407705,0.003431036,0.030974818,0.05259581,0.073890775,0.09940231,0.116998345,0.13457745,0.14865422,0.15862367,0.15827435,0.15180078,0.14113328,0.13205352,0.12702307,0.12413466,0.121341616,0.11871606,0.11868653,0.12409261,0.13545913,0.14482966,0.15367028,0.15807009,0.16391268,0.17223236,0.18252823,0.19796643,-0.73715353,0.1617501985692637,0.0761101176950082,0.0041138124441417,0.0740986958420911,0.001931,0.0,0.0,8.4e-05,0.031113,0.0,0.005923,0.0,0.0,0.0,0.001601,0.0,0.0,8.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037568,0.0,0.05188,0.0,0.869147,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,42,0.0,0.0,6.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,6.3e-05,0.999851,0.0,0.0,0.0,S,S,,,,,,,,,,,,,False,1,4;6;5;10;9
4,Vesta,0.005998534,0.049711633,0.075023524,0.10125229,0.11659093,0.13063727,0.13821808,0.15141597,0.16390686,0.17682526,0.18961434,0.19816926,0.20509744,0.18447842,0.13130213,0.05234431,-0.023406805,-0.10445179,-0.16417177,-0.18959804,-0.17092325,-0.11020146,-0.02369644,0.06390006,0.13273093,0.21670657,0.2605458,0.27647704,0.2917758,0.31302375,0.31993198,0.3291329,0.3261519,0.31174612,0.2849207,0.24471591,0.20091331,0.15143357,0.104426436,0.06546652,0.03884161,0.014877987,-0.0010477556,0.0023279162,0.022810517,0.05282231,0.09417235,0.13271415,0.16855787,0.19744268,0.22324982,0.25338802,0.26652163,-0.4202164,-0.8831594281021835,0.6461954464211829,0.4085672943848604,0.0680046302786346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.999999,0.0,0.0,V,V,,,,,,,,,,,,,False,1,1;11
4,Vesta,-0.01892855,0.02162686,0.04176184,0.07327609,0.085786976,0.100623086,0.10807412,0.12103781,0.13400897,0.14611594,0.15684137,0.16546579,0.17404166,0.15229116,0.1016662,0.026182715,-0.05940687,-0.14119428,-0.19431986,-0.2228315,-0.20825939,-0.14807104,-0.064970694,0.018925108,0.08689804,0.18196249,0.22299019,0.23313127,0.2539658,0.27440834,0.28967538,0.29910007,0.3108087,0.2983366,0.2809807,0.2583311,0.21281363,0.16739084,0.13600045,0.11112453,0.07976612,0.061406072,0.0532813,0.054637957,0.074776664,0.10813307,0.14206383,0.17787427,0.2127469,0.24291237,0.26900783,0.29670748,0.30784443,-0.4213608,-0.7053665305822673,0.5854511692101753,0.3894796722022073,0.1563669714324065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001145,9.2e-05,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001145,0.998855,0.0,0.0,V,V,,,,,,,,,,,,,False,1,12;11
5,Astraea,-0.279045,-0.2282054,-0.18746808,-0.15219998,-0.12338494,-0.09842238,-0.075716116,-0.053493686,-0.029009333,-0.0055284556,0.015233168,0.027917856,0.02686646,0.01980264,-0.0023400618,-0.03190776,-0.06089955,-0.08438092,-0.09185652,-0.075283416,-0.06353999,-0.04561522,-0.025822407,-0.00566539,0.014135877,0.049476244,0.079089396,0.10397539,0.12297728,0.14029443,0.15573168,0.16532752,0.17653304,0.18303055,0.18361041,0.17461082,0.15872929,0.1398753,0.12229582,0.10843716,0.09874528,0.09283317,0.08934096,0.091323726,0.09716243,0.10801012,0.116119005,0.11974675,0.120847695,0.123096935,0.1258891,0.1342512,0.15558669,-0.6635403,-0.1264317803852843,0.0715692533729514,-0.0462368559986955,-0.1420158614301422,0.539866,0.0,0.0,0.012706,8e-06,0.0,0.0,0.0,0.0,0.0,0.001241,0.0,0.0,7.1e-05,0.357119,0.0,0.0,0.0,0.0,0.0,0.0,0.000486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046195,0.0,0.037914,0.0,0.001257,8e-06,0.000362,1e-06,0.0,0.0,0.002766,0.0,0,0.0,0.0,6.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002768,0.0,0.997162,1e-06,0.0,0.0,S,S,,,,,,,,,,,,,False,1,13
